flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
UA0677,United Airlines,5:40 PM,DEN,10:31 PM,ATL,Airbus A320
UA0682,United Airlines,8:00 AM,DEN,11:31 AM,ORD,Boeing 757-300
UA2385,United Airlines,9:44 AM,DEN,1:14 PM,ORD,Boeing 737-900
UA0336,United Airlines,11:10 AM,DEN,2:41 PM,ORD,Boeing 757-300
UA0502,United Airlines,1:28 PM,DEN,4:58 PM,ORD,Boeing 757-300
UA0478,United Airlines,3:54 PM,DEN,7:24 PM,ORD,Boeing 757-300
UA0254,United Airlines,5:30 PM,DEN,8:55 PM,ORD,Boeing 757-300
UA0264,United Airlines,7:00 PM,DEN,10:25 PM,ORD,Boeing 757-300
UA0038,United Airlines,8:35 PM,DEN,11:59 PM,ORD,Boeing 737-900
UA0599,United Airlines,7:58 AM,DEN,1:40 PM,BOS,Boeing 737-900
UA0979,United Airlines,11:08 AM,DEN,4:50 PM,BOS,Boeing 737-900
UA0320,United Airlines,4:06 PM,DEN,9:49 PM,BOS,Boeing 737-800
UA0386,United Airlines,5:37 PM,DEN,11:24 PM,BOS,Boeing 737-900
UA0939,United Airlines,8:05 AM,DEN,1:18 PM,IAD,Boeing 737-900
UA0712,United Airlines,9:35 AM,DEN,2:49 PM,IAD,Boeing 737-900
UA0495,United Airlines,11:05 AM,DEN,4:19 PM,IAD,Boeing 737-900
UA0461,United Airlines,1:25 PM,DEN,6:34 PM,IAD,Boeing 737-800
UA0672,United Airlines,4:00 PM,DEN,9:08 PM,IAD,Boeing 737-900
UA2135,United Airlines,5:35 PM,DEN,10:48 PM,IAD,Boeing 737-900
UA1900,United Airlines,7:00 AM,ATL,9:30 AM,SFO,Boeing 737-800
UA0912,United Airlines,7:12 PM,ATL,9:50 PM,SFO,Airbus A319
UA0533,United Airlines,7:00 AM,ATL,8:33 AM,DEN,Boeing 737-800
UA2308,United Airlines,4:34 PM,ATL,6:10 PM,DEN,Airbus A320
UA0251,United Airlines,7:45 AM,ATL,9:02 AM,ORD,Boeing 737-900
UA0241,United Airlines,10:48 AM,ATL,12:05 PM,ORD,Boeing 737-800
UA0260,United Airlines,1:42 PM,ATL,2:55 PM,ORD,Airbus A319
UA0236,United Airlines,2:35 PM,ATL,4:23 PM,IAD,Airbus A319
